42928074,더클라임 클라이밍 짐앤샵 마곡점,서울특별시 강서구 마곡동 796-3 마곡사이언스타워 7층
45829941,킹콩클라이밍 대구 성서,대구광역시 달서구 호산동 353-6 대백마트 4층
46236410,청주락클라이밍센터,충청북도 청주시 청원구 율량동 2044 3층
77150444,정글짐클라이밍센터,경기도 파주시 목동동 939-2 월드타워8층
81775445,화성클라이밍클럽,경기도 화성시 기안동 467-12 2층 207호 화성클라이밍클럽
87135742,클라임투더문,서울특별시 송파구 삼전동 49-1 창대빌딩 지하1층
130796730,클라이밍줌,인천광역시 연수구 청학동 502-2 7층
137769604,DoDream클라이밍센터,경기도 동두천시 생연동 628-2
180635295,점프클라이밍짐,대구광역시 달서구 장기동 562-1
211316583,구미클라이밍센터,경상북도 구미시 형곡동 145-2
268191985,교하스포츠클라이밍짐,경기도 파주시 문발동 602-7
319142992,루트클라이밍,서울특별시 송파구 방이동 204-5
355927800,오르락클라이밍짐,충청북도 충주시 호암동 989 5층
404900145,오산클라이밍,경기도 오산시 궐동 72-3
427957402,산타클라이밍,서울특별시 동대문구 신설동 103-15 지하1층
434607453,클라이밍하이,대구광역시 달서구 도원동 1431 동신빌딩 7층
448809028,경기레포츠클라이밍,경기도 용인시 기흥구 영덕동 1005 흥덕IT밸리 컴플렉스동 지하1층 P183호
474491325,빛가람 클라이밍짐,전라남도 나주시 빛가람동 196-4
500935574,부산문현클라이밍센터,부산광역시 남구 문현동 442-24
508613263,행클라임 클라이밍짐 구파발점,서울특별시 은평구 진관동 100-2 은평뉴타운 신한헤센스마트 M204호
513989217,도봉파워클라이밍센터,서울특별시 도봉구 쌍문동 21-15
568963041,정지현클라이밍짐,서울특별시 관악구 봉천동 870-2 은일빌딩 7층 정지현클라이밍짐
597479953,락페이스클라이밍,경기도 성남시 중원구 중앙동 208 범원빌딩 8층
725014673,몬스터클라이밍,대구광역시 달성군 유가읍 봉리 608-1 7층
854710520,클라이밍88,서울특별시 강서구 화곡동 1093-76 제2체육관 1층
862018532,경기레포츠클럽,경기도 용인시 기흥구 영덕동 1005
914763940,마그마홀드,"경기도 화성시 향남읍 증거리 311-8 1, 2층"
954129400,부천클라이밍센터,경기도 부천시 원미구 상동 326-15 지하1층
985209367,시흥스포츠클라이밍센터,경기도 시흥시 대야동 332-1
1004993421,서울숲클라이밍 종로점,서울특별시 종로구 관수동 20 지하1층
1007149389,시흥캐치클라이밍짐,경기도 시흥시 장곡동 250-2 메디프라자 701호
1010970569,몽키즈클라이밍 시흥배곧점,경기도 시흥시 배곧동 204 서영베니스스퀘어 C동 5층 528 호
1013096161,서울숲클라이밍 영등포점,서울특별시 영등포구 문래동3가 55-16 B동 1층
1015007500,핸드워크 클라이밍 전대점,광주광역시 북구 용봉동 152-6 지하1층
1017266338,와클라이밍,충청남도 천안시 동남구 목천읍 천정리 108-17 와클라이밍
1017831035,남구국제스포츠클라이밍장,대구광역시 남구 봉덕동 산132-7
1018385258,잼클라이밍,경기도 김포시 장기동 2039-2 프레즌스빌딩 3층 301호
1025274201,페퍼클라이밍,경기도 고양시 덕양구 원흥동 632-1 19층 1901호
1027543168,더클라임 논현점,서울특별시 서초구 반포동 723-1 지하1층
1032645280,전북특별자치도 인공암벽장,전북특별자치도 부안군 변산면 대항리 614
1034034554,몽키즈클라이밍 양주옥정점,경기도 양주시 옥정동 963-4 스카이타워 903호
1041503195,힐앤토클라이밍,경기도 평택시 팽성읍 남산리 98-68 진영빌딩2층 힐앤토클라이밍
1042074820,원클라임,전라남도 순천시 해룡면 월전리 518-11
1043151083,클라이밍 트리클,경기도 안산시 단원구 고잔동 527-8
1044416362,신촌담장,서울특별시 서대문구 대현동 101-7 5층
1047749762,레드원클라이밍,광주광역시 남구 봉선동 156 가로수빌딩 3층
1051152515,클라이밍파크 성수점,서울특별시 성동구 성수동2가 273-34 매니아빌딩
1063241142,몽키즈클라이밍 목동점,"서울특별시 양천구 신정동 323-10 6층 601호, 602호"
1064813681,비블럭클라이밍 영종하늘도시점,인천광역시 중구 중산동 1884-7 6층 601-604호
1070633281,설우클라이밍센터,경상북도 경주시 황성동 277-4 4층
1073602274,고창클라이밍스쿨,전북특별자치도 고창군 아산면 삼인리 164
1084761503,펀클라임짐 클라이밍,경기도 안양시 동안구 관양동 1019-5 지하1층 101호
1096153861,서울볼더스 컴퍼니,서울특별시 양천구 신정동 88-5 2층
1102015375,인케이브 상무,광주광역시 서구 치평동 1251-1 6층
1102583115,락랜드 클라이밍,서울특별시 강북구 수유동 740 2F 락랜드클라이밍
1108004309,아띠클라이밍,경상북도 포항시 북구 우현동 산9 테라스31 지하1층 아띠클라이밍
1111085488,웨이브락 클라이밍 광안리점,부산광역시 수영구 광안동 569-19
1130955218,클라임바운스 이천점,경기도 이천시 부발읍 아미리 678 다온빌딩 지하1층
1135237333,고성클라이밍 실내암벽장,강원특별자치도 고성군 거진읍 거진리 236-2
1135505300,뉴비클라이밍 수성점,대구광역시 수성구 상동 27-5 1층
1136103431,스튜디오볼더,서울특별시 구로구 구로동 191-7 지하1층 B101호 스튜디오볼더 클라이밍짐
1139803844,클라임 어스 장한평점,서울특별시 동대문구 장안동 457-2 호종빌딩 2층
